stationID,sensorID,sensorType
11,54,pył zawieszony PM10
16,101,pył zawieszony PM10
38,224,pył zawieszony PM10
38,25988,pył zawieszony PM2.5
52,295,pył zawieszony PM10
52,14397,pył zawieszony PM10
70,400,pył zawieszony PM10
70,401,pył zawieszony PM10
71,407,pył zawieszony PM10
77,470,pył zawieszony PM10
93,542,pył zawieszony PM10
109,618,pył zawieszony PM10
109,619,pył zawieszony PM10
109,620,pył zawieszony PM2.5
115,645,pył zawieszony PM2.5
117,669,pył zawieszony PM10
117,670,pył zawieszony PM2.5
122,701,pył zawieszony PM10
129,744,pył zawieszony PM2.5
134,780,pył zawieszony PM10
134,781,pył zawieszony PM2.5
142,812,pył zawieszony PM10
143,828,pył zawieszony PM10
143,829,pył zawieszony PM10
145,853,pył zawieszony PM10
150,880,pył zawieszony PM2.5
156,965,pył zawieszony PM10
156,966,pył zawieszony PM2.5
158,995,pył zawieszony PM10
158,996,pył zawieszony PM2.5
158,17976,pył zawieszony PM10
164,1067,pył zawieszony PM10
183,1249,pył zawieszony PM10
183,1250,pył zawieszony PM2.5
190,1288,pył zawieszony PM10
206,1405,pył zawieszony PM10
206,1406,pył zawieszony PM10
206,1408,pył zawieszony PM2.5
208,1426,pył zawieszony PM10
208,21163,pył zawieszony PM2.5
225,1544,pył zawieszony PM10
225,19698,pył zawieszony PM2.5
236,1679,pył zawieszony PM10
236,1680,pył zawieszony PM2.5
236,20419,pył zawieszony PM10
250,1756,pył zawieszony PM10
258,1832,pył zawieszony PM10
258,1833,pył zawieszony PM2.5
266,1900,pył zawieszony PM10
266,16472,pył zawieszony PM2.5
275,1946,pył zawieszony PM10
275,27126,pył zawieszony PM10
285,2006,pył zawieszony PM10
285,16744,pył zawieszony PM10
285,26316,pył zawieszony PM2.5
289,2025,pył zawieszony PM10
291,2035,pył zawieszony PM10
295,2069,pył zawieszony PM10
295,2071,pył zawieszony PM2.5
295,2072,pył zawieszony PM2.5
296,2087,pył zawieszony PM10
302,2146,pył zawieszony PM10
302,2147,pył zawieszony PM2.5
305,2162,pył zawieszony PM10
314,2199,pył zawieszony PM10
315,2212,pył zawieszony PM10
319,18011,pył zawieszony PM10
322,2245,pył zawieszony PM10
322,15025,pył zawieszony PM10
322,15030,pył zawieszony PM2.5
331,2287,pył zawieszony PM10
331,16630,pył zawieszony PM10
335,2300,pył zawieszony PM10
345,2336,pył zawieszony PM10
347,2345,pył zawieszony PM10
350,2357,pył zawieszony PM10
355,2377,pył zawieszony PM10
355,2378,pył zawieszony PM2.5
361,2421,pył zawieszony PM10
361,2422,pył zawieszony PM10
361,26165,pył zawieszony PM2.5
362,2434,pył zawieszony PM10
362,2435,pył zawieszony PM2.5
374,26182,pył zawieszony PM10
376,2528,pył zawieszony PM10
376,2529,pył zawieszony PM10
379,2563,pył zawieszony PM10
379,14427,pył zawieszony PM10
379,19721,pył zawieszony PM2.5
382,2599,pył zawieszony PM10
382,14618,pył zawieszony PM10
382,20221,pył zawieszony PM2.5
387,2663,pył zawieszony PM10
391,2688,pył zawieszony PM10
391,2689,pył zawieszony PM2.5
398,2734,pył zawieszony PM10
400,2750,pył zawieszony PM10
400,2752,pył zawieszony PM2.5
401,2770,pył zawieszony PM10
401,2771,pył zawieszony PM10
401,2773,pył zawieszony PM2.5
402,2792,pył zawieszony PM10
402,2793,pył zawieszony PM10
402,2794,pył zawieszony PM2.5
426,2941,pył zawieszony PM10
426,2942,pył zawieszony PM10
426,2943,pył zawieszony PM2.5
437,3023,pył zawieszony PM10
443,21453,pył zawieszony PM10
444,3070,pył zawieszony PM10
444,3071,pył zawieszony PM10
444,3072,pył zawieszony PM2.5
449,3123,pył zawieszony PM10
449,3124,pył zawieszony PM10
449,3125,pył zawieszony PM2.5
450,3134,pył zawieszony PM10
455,3171,pył zawieszony PM10
455,27326,pył zawieszony PM10
459,3195,pył zawieszony PM10
459,3196,pył zawieszony PM10
459,3197,pył zawieszony PM2.5
460,3204,pył zawieszony PM10
471,3261,pył zawieszony PM10
471,14378,pył zawieszony PM2.5
471,20461,pył zawieszony PM10
485,3321,pył zawieszony PM10
485,16044,pył zawieszony PM2.5
485,17225,pył zawieszony PM10
488,3343,pył zawieszony PM10
488,14779,pył zawieszony PM2.5
488,20462,pył zawieszony PM10
497,3416,pył zawieszony PM10
497,3417,pył zawieszony PM2.5
501,3429,pył zawieszony PM10
501,14376,pył zawieszony PM2.5
510,3463,pył zawieszony PM10
512,3470,pył zawieszony PM2.5
515,3497,pył zawieszony PM10
515,14377,pył zawieszony PM2.5
517,3526,pył zawieszony PM10
517,3527,pył zawieszony PM10
517,3528,pył zawieszony PM2.5
530,3584,pył zawieszony PM10
530,3585,pył zawieszony PM2.5
532,3603,pył zawieszony PM10
538,3654,pył zawieszony PM10
538,18038,pył zawieszony PM2.5
538,26083,pył zawieszony PM2.5
550,3730,pył zawieszony PM10
550,3731,pył zawieszony PM2.5
550,3732,pył zawieszony PM2.5
562,3802,pył zawieszony PM10
562,14379,pył zawieszony PM2.5
568,3843,pył zawieszony PM10
568,3844,pył zawieszony PM2.5
568,14435,pył zawieszony PM10
577,3882,pył zawieszony PM2.5
584,3902,pył zawieszony PM10
590,3938,pył zawieszony PM10
590,3939,pył zawieszony PM2.5
600,3970,pył zawieszony PM10
605,4005,pył zawieszony PM2.5
609,4024,pył zawieszony PM10
609,4025,pył zawieszony PM2.5
612,19657,pył zawieszony PM10
612,19696,pył zawieszony PM2.5
618,4079,pył zawieszony PM10
618,4081,pył zawieszony PM2.5
618,21227,pył zawieszony PM10
631,4138,pył zawieszony PM10
631,20218,pył zawieszony PM2.5
631,20236,pył zawieszony PM10
638,4196,pył zawieszony PM10
638,4197,pył zawieszony PM10
638,4198,pył zawieszony PM2.5
646,4229,pył zawieszony PM10
646,21905,pył zawieszony PM10
646,26986,pył zawieszony PM2.5
659,4282,pył zawieszony PM10
659,14416,pył zawieszony PM10
659,25910,pył zawieszony PM2.5
665,4336,pył zawieszony PM10
665,4337,pył zawieszony PM10
665,4338,pył zawieszony PM2.5
671,4387,pył zawieszony PM10
671,4389,pył zawieszony PM2.5
671,14466,pył zawieszony PM10
678,4437,pył zawieszony PM10
678,26987,pył zawieszony PM10
684,4456,pył zawieszony PM10
684,26989,pył zawieszony PM10
706,4553,pył zawieszony PM2.5
725,16071,pył zawieszony PM10
731,4706,pył zawieszony PM10
731,27667,pył zawieszony PM2.5
732,4715,pył zawieszony PM10
732,27567,pył zawieszony PM2.5
736,4761,pył zawieszony PM10
736,4762,pył zawieszony PM2.5
740,4817,pył zawieszony PM10
740,4818,pył zawieszony PM10
740,4819,pył zawieszony PM2.5
741,4845,pył zawieszony PM10
742,4871,pył zawieszony PM10
742,16070,pył zawieszony PM10
742,25925,pył zawieszony PM2.5
747,4945,pył zawieszony PM10
756,4993,pył zawieszony PM10
756,4994,pył zawieszony PM2.5
769,5085,pył zawieszony PM10
777,5103,pył zawieszony PM10
778,5115,pył zawieszony PM10
785,5140,pył zawieszony PM10
785,20310,pył zawieszony PM10
785,20311,pył zawieszony PM2.5
789,5167,pył zawieszony PM10
789,5168,pył zawieszony PM10
791,5177,pył zawieszony PM2.5
798,5232,pył zawieszony PM10
800,5256,pył zawieszony PM10
800,5257,pył zawieszony PM10
804,5271,pył zawieszony PM2.5
805,5286,pył zawieszony PM10
805,5287,pył zawieszony PM10
809,5312,pył zawieszony PM10
809,5314,pył zawieszony PM2.5
810,5334,pył zawieszony PM10
810,5335,pył zawieszony PM2.5
813,5349,pył zawieszony PM10
813,25931,pył zawieszony PM2.5
814,5376,pył zawieszony PM10
814,5377,pył zawieszony PM10
814,5378,pył zawieszony PM2.5
814,5379,pył zawieszony PM2.5
818,5397,pył zawieszony PM10
825,5421,pył zawieszony PM10
829,5437,pył zawieszony PM10
834,5466,pył zawieszony PM10
834,5467,pył zawieszony PM10
837,5480,pył zawieszony PM10
839,5495,pył zawieszony PM10
839,14871,pył zawieszony PM2.5
841,5505,pył zawieszony PM10
842,5515,pył zawieszony PM10
845,5547,pył zawieszony PM10
848,5573,pył zawieszony PM10
848,5574,pył zawieszony PM10
853,5618,pył zawieszony PM10
853,5619,pył zawieszony PM2.5
853,5620,pył zawieszony PM2.5
856,5642,pył zawieszony PM10
856,14916,pył zawieszony PM10
861,5683,pył zawieszony PM10
861,5684,pył zawieszony PM10
861,5685,pył zawieszony PM2.5
861,20691,pył zawieszony PM2.5
870,5721,pył zawieszony PM10
870,20689,pył zawieszony PM10
875,5744,pył zawieszony PM10
890,5848,pył zawieszony PM10
902,5904,pył zawieszony PM10
909,5934,pył zawieszony PM10
912,5942,pył zawieszony PM10
919,5964,pył zawieszony PM10
920,5982,pył zawieszony PM10
920,14893,pył zawieszony PM10
931,6021,pył zawieszony PM10
932,6028,pył zawieszony PM10
942,6059,pył zawieszony PM10
944,6085,pył zawieszony PM10
944,19477,pył zawieszony PM2.5
944,20176,pył zawieszony PM2.5
950,14892,pył zawieszony PM10
952,6164,pył zawieszony PM10
952,6165,pył zawieszony PM2.5
952,6166,pył zawieszony PM2.5
952,14972,pył zawieszony PM10
966,6238,pył zawieszony PM10
967,6249,pył zawieszony PM2.5
973,6270,pył zawieszony PM2.5
973,14374,pył zawieszony PM10
981,6308,pył zawieszony PM10
981,6309,pył zawieszony PM2.5
983,6322,pył zawieszony PM10
983,15290,pył zawieszony PM10
986,6352,pył zawieszony PM10
986,6353,pył zawieszony PM10
986,6354,pył zawieszony PM2.5
986,6355,pył zawieszony PM2.5
987,6377,pył zawieszony PM10
987,6382,pył zawieszony PM10
987,6383,pył zawieszony PM2.5
8873,14398,pył zawieszony PM10
8953,14383,pył zawieszony PM10
8976,21683,pył zawieszony PM10
8976,27333,pył zawieszony PM2.5
9114,14687,pył zawieszony PM10
9153,14730,pył zawieszony PM10
9153,14731,pył zawieszony PM2.5
9173,14746,pył zawieszony PM10
9173,20324,pył zawieszony PM10
9173,20325,pył zawieszony PM2.5
9177,14795,pył zawieszony PM10
9203,14869,pył zawieszony PM10
9218,14921,pył zawieszony PM10
9218,14922,pył zawieszony PM2.5
9218,21686,pył zawieszony PM10
9235,15024,pył zawieszony PM10
9236,15012,pył zawieszony PM10
9791,20302,pył zawieszony PM10
9798,21168,pył zawieszony PM10
9798,25983,pył zawieszony PM10
9798,25984,pył zawieszony PM2.5
9913,17276,pył zawieszony PM10
9973,16115,pył zawieszony PM2.5
9994,16130,pył zawieszony PM10
9994,16220,pył zawieszony PM2.5
10005,16173,pył zawieszony PM10
10005,27606,pył zawieszony PM2.5
10005,27607,pył zawieszony PM10
10018,26926,pył zawieszony PM10
10030,16178,pył zawieszony PM10
10030,16179,pył zawieszony PM2.5
10030,20333,pył zawieszony PM10
10058,16250,pył zawieszony PM10
10059,16268,pył zawieszony PM10
10060,16269,pył zawieszony PM10
10115,16326,pył zawieszony PM10
10120,16457,pył zawieszony PM10
10120,16494,pył zawieszony PM2.5
10121,16377,pył zawieszony PM10
10122,16317,pył zawieszony PM10
10123,16370,pył zawieszony PM10
10123,16786,pył zawieszony PM10
10124,16498,pył zawieszony PM10
10124,16519,pył zawieszony PM10
10125,16344,pył zawieszony PM10
10125,20277,pył zawieszony PM2.5
10126,16347,pył zawieszony PM10
10139,16368,pył zawieszony PM10
10139,16784,pył zawieszony PM10
10140,16361,pył zawieszony PM10
10141,16452,pył zawieszony PM10
10158,16551,pył zawieszony PM2.5
10374,16147,pył zawieszony PM10
10374,25986,pył zawieszony PM2.5
10414,17184,pył zawieszony PM10
10414,17185,pył zawieszony PM2.5
10414,17186,pył zawieszony PM10
10438,17271,pył zawieszony PM10
10438,17272,pył zawieszony PM2.5
10446,17304,pył zawieszony PM10
10446,21489,pył zawieszony PM10
10447,17309,pył zawieszony PM10
10447,17310,pył zawieszony PM10
10455,17273,pył zawieszony PM10
10456,17307,pył zawieszony PM10
10554,17442,pył zawieszony PM10
10554,17444,pył zawieszony PM2.5
10694,17677,pył zawieszony PM10
10694,17678,pył zawieszony PM2.5
10794,17800,pył zawieszony PM10
10814,17882,pył zawieszony PM10
10814,21249,pył zawieszony PM10
10834,17958,pył zawieszony PM10
10854,18022,pył zawieszony PM10
10874,18043,pył zawieszony PM10
10934,18176,pył zawieszony PM10
10955,18200,pył zawieszony PM10
10955,18201,pył zawieszony PM2.5
10955,20386,pył zawieszony PM10
10956,18198,pył zawieszony PM2.5
10956,18199,pył zawieszony PM10
10956,20388,pył zawieszony PM10
11154,19676,pył zawieszony PM10
11154,19697,pył zawieszony PM2.5
11174,25908,pył zawieszony PM10
11174,25909,pył zawieszony PM2.5
11195,19749,pył zawieszony PM10
11195,19752,pył zawieszony PM10
11195,19753,pył zawieszony PM2.5
11234,20196,pył zawieszony PM2.5
11254,20210,pył zawieszony PM10
11254,20213,pył zawieszony PM10
11278,20220,pył zawieszony PM10
11294,20232,pył zawieszony PM10
11294,20233,pył zawieszony PM10
11301,20295,pył zawieszony PM10
11301,21183,pył zawieszony PM10
11303,20320,pył zawieszony PM10
11303,20321,pył zawieszony PM10
11336,26313,pył zawieszony PM10
11358,27292,pył zawieszony PM10
11358,28812,pył zawieszony PM2.5
11360,20424,pył zawieszony PM10
11360,20425,pył zawieszony PM2.5
11360,20426,pył zawieszony PM10
11362,20430,pył zawieszony PM10
11434,20556,pył zawieszony PM10
11434,21571,pył zawieszony PM10
11455,20661,pył zawieszony PM10
11457,20681,pył zawieszony PM10
11457,21083,pył zawieszony PM2.5
11554,20777,pył zawieszony PM10
11554,20778,pył zawieszony PM10
11554,20796,pył zawieszony PM2.5
11616,20841,pył zawieszony PM10
11616,20846,pył zawieszony PM2.5
11616,20847,pył zawieszony PM10
11754,26004,pył zawieszony PM10
11794,21129,pył zawieszony PM10
11794,21130,pył zawieszony PM2.5
11814,21243,pył zawieszony PM10
11814,26323,pył zawieszony PM2.5
11855,21228,pył zawieszony PM2.5
11916,21323,pył zawieszony PM10
11916,21324,pył zawieszony PM2.5
11916,21325,pył zawieszony PM10
11934,21370,pył zawieszony PM10
12016,21465,pył zawieszony PM2.5
12016,21471,pył zawieszony PM10
12016,21473,pył zawieszony PM10
12038,21509,pył zawieszony PM10
12038,21510,pył zawieszony PM2.5
12050,21589,pył zawieszony PM10
12054,21618,pył zawieszony PM10
12054,21635,pył zawieszony PM10
12054,21657,pył zawieszony PM2.5
12055,21636,pył zawieszony PM10
12098,21763,pył zawieszony PM10
12100,21787,pył zawieszony PM10
12100,21789,pył zawieszony PM10
12100,21791,pył zawieszony PM2.5
12138,21870,pył zawieszony PM10
12138,25995,pył zawieszony PM10
12138,25997,pył zawieszony PM2.5
12139,21875,pył zawieszony PM10
16196,26010,pył zawieszony PM10
16216,26095,pył zawieszony PM10
16216,26097,pył zawieszony PM10
16216,26101,pył zawieszony PM2.5
16242,26219,pył zawieszony PM10
16242,26221,pył zawieszony PM2.5
16265,26276,pył zawieszony PM10
16265,28788,pył zawieszony PM2.5
16271,26259,pył zawieszony PM10
16271,26261,pył zawieszony PM2.5
16271,26262,pył zawieszony PM10
16397,26884,pył zawieszony PM10
16406,26885,pył zawieszony PM10
16413,26935,pył zawieszony PM10
16413,26936,pył zawieszony PM10
16473,26980,pył zawieszony PM10
16473,26981,pył zawieszony PM10
16493,26996,pył zawieszony PM10
16493,26997,pył zawieszony PM2.5
16495,26998,pył zawieszony PM10
16497,27027,pył zawieszony PM10
16497,27206,pył zawieszony PM10
16613,27273,pył zawieszony PM10
16613,27274,pył zawieszony PM2.5
16613,27328,pył zawieszony PM10
16753,27646,pył zawieszony PM10
16894,27835,pył zawieszony PM10
16894,27839,pył zawieszony PM10
16913,27816,pył zawieszony PM10
16913,27827,pył zawieszony PM2.5
16913,27854,pył zawieszony PM10
16975,27874,pył zawieszony PM10
16975,27881,pył zawieszony PM2.5
16975,27882,pył zawieszony PM10
16978,27891,pył zawieszony PM10
16978,27892,pył zawieszony PM10
16978,27893,pył zawieszony PM2.5
17138,28431,pył zawieszony PM10
17138,28432,pył zawieszony PM10
17159,28486,pył zawieszony PM10
17159,28487,pył zawieszony PM2.5
17160,28500,pył zawieszony PM10
17160,28523,pył zawieszony PM2.5
17160,28525,pył zawieszony PM10
17179,28488,pył zawieszony PM10
17179,28489,pył zawieszony PM2.5
17182,28494,pył zawieszony PM10
17182,28495,pył zawieszony PM10
17182,28496,pył zawieszony PM2.5
17438,29267,pył zawieszony PM10
17438,29268,pył zawieszony PM2.5
17478,21658,pył zawieszony PM2.5
17478,21659,pył zawieszony PM10
17478,29149,pył zawieszony PM10
